"BIXS039K.Code.or.Value","BIXS039K.Value.Description","BIXS039K.Count","BIXS039K.Cumulative","BIXS039K.Skip.to.Item"
"267.85 to 972.4","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
