"LBDMPAHL.Code.or.Value","LBDMPAHL.Value.Description","LBDMPAHL.Count","LBDMPAHL.Cumulative","LBDMPAHL.Skip.to.Item"
"0","At or above the detection limit",783,783,NA
"1","Below lower detection limit",1210,1993,NA
".","Missing",177,2170,NA
