"BMITRI.Code.or.Value","BMITRI.Value.Description","BMITRI.Count","BMITRI.Cumulative","BMITRI.Skip.to.Item"
"1","Could not obtain",548,548,NA
"2","Exceeds capacity",302,850,NA
"3","Hard to obtain",0,850,NA
".","Missing",8793,9643,NA
