"PFQ061P.Code.or.Value","PFQ061P.Value.Description","PFQ061P.Count","PFQ061P.Cumulative","PFQ061P.Skip.to.Item"
"1","No difficulty",2063,2063,NA
"2","Some difficulty",373,2436,NA
"3","Much difficulty",107,2543,NA
"4","Unable to do",19,2562,NA
"5","Do not do this activity",6,2568,NA
"7","Refused",0,2568,NA
"9","Don't know",0,2568,NA
".","Missing",7077,9645,NA
