"DXDLLPF.Code.or.Value","DXDLLPF.Value.Description","DXDLLPF.Count","DXDLLPF.Cumulative","DXDLLPF.Skip.to.Item"
"10.3 to 61","Range of Values",4865,4865,NA
".","Missing",915,5780,NA
