"DR2TPROT.Code.or.Value","DR2TPROT.Value.Description","DR2TPROT.Count","DR2TPROT.Cumulative","DR2TPROT.Skip.to.Item"
"0 to 354.03","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
