"DRD370LQ.Code.or.Value","DRD370LQ.Value.Description","DRD370LQ.Count","DRD370LQ.Cumulative","DRD370LQ.Skip.to.Item"
"1 to 4","Range of Values",22,22,NA
".","Missing",9928,9950,NA
