"URXMHH.Code.or.Value","URXMHH.Value.Description","URXMHH.Count","URXMHH.Cumulative","URXMHH.Skip.to.Item"
"0.49 to 3619","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
