"MCQ240T.Code.or.Value","MCQ240T.Value.Description","MCQ240T.Count","MCQ240T.Cumulative","MCQ240T.Skip.to.Item"
"55","55",1,1,NA
"80","80 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",10108,10109,NA
