"CIQG17G.Code.or.Value","CIQG17G.Value.Description","CIQG17G.Count","CIQG17G.Cumulative","CIQG17G.Skip.to.Item"
"1","Yes",54,54,NA
"2","No",37,91,NA
"7","Refused",0,91,NA
"9","Don't know",0,91,NA
".","Missing",687,778,NA
