"LBDTFRSI.Code.or.Value","LBDTFRSI.Value.Description","LBDTFRSI.Count","LBDTFRSI.Cumulative","LBDTFRSI.Skip.to.Item"
"11.8 to 404","Range of Values",2638,2638,NA
".","Missing",614,3252,NA
