"DXXGYFM.Code.or.Value","DXXGYFM.Value.Description","DXXGYFM.Count","DXXGYFM.Cumulative","DXXGYFM.Skip.to.Item"
"453.9 to 12528","Range of Values",5589,5589,NA
".","Missing",1304,6893,NA
