"PAQ724x.Code.or.Value","PAQ724x.Value.Description","PAQ724x.Count","PAQ724x.Cumulative","PAQ724x.Skip.to.Item"
"24","TENNIS",36,36,NA
".","Missing",9448,9484,NA
