"OSQ200.Code.or.Value","OSQ200.Value.Description","OSQ200.Count","OSQ200.Cumulative","OSQ200.Skip.to.Item"
"1","Yes",109,109,NA
"2","No",5766,5875,NA
"7","Refused",4,5879,NA
"9","Don't know",339,6218,NA
".","Missing",0,6218,NA
