"OHX24LAS.Code.or.Value","OHX24LAS.Value.Description","OHX24LAS.Count","OHX24LAS.Cumulative","OHX24LAS.Skip.to.Item"
"0 to 13","Range of Values",2919,2919,NA
"99","Cannot be assessed",779,3698,NA
".","Missing",667,4365,NA
