"PSQ060.Code.or.Value","PSQ060.Value.Description","PSQ060.Count","PSQ060.Cumulative","PSQ060.Skip.to.Item"
"1","Yes",22,22,"PSQ080"
"2","No",21,43,""
"7","Refused",0,43,"PSQ080"
"9","Don't know",0,43,"PSQ080"
".","Missing",78,121,""
