"LBXEOPCT.Code.or.Value","LBXEOPCT.Value.Description","LBXEOPCT.Count","LBXEOPCT.Cumulative","LBXEOPCT.Skip.to.Item"
"0 to 29.1","Range of Values",7523,7523,NA
".","Missing",843,8366,NA
