"DBQ770.Code.or.Value","DBQ770.Value.Description","DBQ770.Count","DBQ770.Cumulative","DBQ770.Skip.to.Item"
"1","Always",271,271,NA
"2","Most of the time",397,668,NA
"3","Sometimes",787,1455,NA
"4","Rarely",457,1912,NA
"5","Never",326,2238,NA
"6","Never seen",6,2244,NA
"7","Refused",0,2244,NA
"9","Don't know",3,2247,NA
".","Missing",622,2869,NA
