"URDDEALC.Code.or.Value","URDDEALC.Value.Description","URDDEALC.Count","URDDEALC.Cumulative","URDDEALC.Skip.to.Item"
"0","At or above detection limit",2028,2028,NA
"1","Below lower detection limit",398,2426,NA
".","Missing",79,2505,NA
