"URXMX6.Code.or.Value","URXMX6.Value.Description","URXMX6.Count","URXMX6.Cumulative","URXMX6.Skip.to.Item"
"0.04 to 482","Range of Values",2714,2714,NA
".","Missing",117,2831,NA
