"RHQ560U.Code.or.Value","RHQ560U.Value.Description","RHQ560U.Count","RHQ560U.Cumulative","RHQ560U.Skip.to.Item"
"1","Months",80,80,NA
"2","Years",304,384,NA
"7","Refused",0,384,NA
"9","Don't know",0,384,NA
".","Missing",3180,3564,NA
