"LBD187LC.Code.or.Value","LBD187LC.Value.Description","LBD187LC.Count","LBD187LC.Cumulative","LBD187LC.Skip.to.Item"
"0","detectable result",1059,1059,NA
"1","below detectable limit",1248,2307,NA
".","Missing",240,2547,NA
