"BIXS023K.Code.or.Value","BIXS023K.Value.Description","BIXS023K.Count","BIXS023K.Cumulative","BIXS023K.Skip.to.Item"
"276.57 to 1005.8","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
