"MCQ240BB.Code.or.Value","MCQ240BB.Value.Description","MCQ240BB.Count","MCQ240BB.Cumulative","MCQ240BB.Skip.to.Item"
"17 to 55","Range of Values",5,5,NA
"85","85 years or older",0,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",9488,9493,NA
