"VIQ200.Code.or.Value","VIQ200.Value.Description","VIQ200.Count","VIQ200.Cumulative","VIQ200.Skip.to.Item"
"1","Yes",338,338,""
"2","No",6093,6431,"VIQ220"
"9","Don't know",7,6438,"VIQ220"
".","Missing",320,6758,""
