"BIXC378K.Code.or.Value","BIXC378K.Value.Description","BIXC378K.Count","BIXC378K.Cumulative","BIXC378K.Skip.to.Item"
"9.18 to 138.09","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
