"VTQ280B.Code.or.Value","VTQ280B.Value.Description","VTQ280B.Count","VTQ280B.Cumulative","VTQ280B.Skip.to.Item"
"1","Yes",248,248,NA
"2","No",2992,3240,NA
"7","Refused",0,3240,NA
"9","Don't know",0,3240,NA
".","Missing",305,3545,NA
