"URDTRSLC.Code.or.Value","URDTRSLC.Value.Description","URDTRSLC.Count","URDTRSLC.Cumulative","URDTRSLC.Skip.to.Item"
"0","At or above the detection limit",2047,2047,NA
"1","Below lower detection limit",639,2686,NA
".","Missing",91,2777,NA
