"DR2TFOLA.Code.or.Value","DR2TFOLA.Value.Description","DR2TFOLA.Count","DR2TFOLA.Cumulative","DR2TFOLA.Skip.to.Item"
"0 to 5451","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
