"DSQ128I.Code.or.Value","DSQ128I.Value.Description","DSQ128I.Count","DSQ128I.Cumulative","DSQ128I.Skip.to.Item"
"18","TO PREVENT COLDS, BOOST IMMUNE SYSTEM",626,626,NA
".","Missing",7659,8285,NA
