"LBDSALSI.Code.or.Value","LBDSALSI.Value.Description","LBDSALSI.Count","LBDSALSI.Cumulative","LBDSALSI.Skip.to.Item"
"23 to 54","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
