"LBDPCT.Code.or.Value","LBDPCT.Value.Description","LBDPCT.Count","LBDPCT.Cumulative","LBDPCT.Skip.to.Item"
"0.5 to 124.2","Range of Values",8759,8759,NA
".","Missing",1170,9929,NA
