"AUDTYR23.Code.or.Value","AUDTYR23.Value.Description","AUDTYR23.Count","AUDTYR23.Cumulative","AUDTYR23.Skip.to.Item"
"0 to 1.53","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
