"LBDVOXLC.Code.or.Value","LBDVOXLC.Value.Description","LBDVOXLC.Count","LBDVOXLC.Cumulative","LBDVOXLC.Skip.to.Item"
"0","Detectable Result",180,180,NA
"1","Below Detectable Limit",128,308,NA
"2","Detectable Result and Exceeds the Calibrated Range of 
      Assay",1,309,NA
".","Missing",542,851,NA
