"RHQ542A.Code.or.Value","RHQ542A.Value.Description","RHQ542A.Count","RHQ542A.Cumulative","RHQ542A.Skip.to.Item"
"10","Pills",407,407,NA
"77","Refused",0,407,NA
"99","Don't know",1,408,NA
".","Missing",3210,3618,NA
