"LBXLAR.Code.or.Value","LBXLAR.Value.Description","LBXLAR.Count","LBXLAR.Cumulative","LBXLAR.Skip.to.Item"
"1.65 to 781","Range of Values",4249,4249,NA
".","Missing",1394,5643,NA
