"LBDBHCLC.Code.or.Value","LBDBHCLC.Value.Description","LBDBHCLC.Count","LBDBHCLC.Cumulative","LBDBHCLC.Skip.to.Item"
"0","detectable result",1229,1229,NA
"1","below detectable limit",1062,2291,NA
".","Missing",256,2547,NA
