"SMD100TR.Code.or.Value","SMD100TR.Value.Description","SMD100TR.Count","SMD100TR.Cumulative","SMD100TR.Skip.to.Item"
"2 to 20","Range of Values",966,966,NA
".","Missing",5824,6790,NA
