"DUQ280.Code.or.Value","DUQ280.Value.Description","DUQ280.Count","DUQ280.Cumulative","DUQ280.Skip.to.Item"
"1 to 25","Range of Values",45,45,NA
"777","Refused",0,45,NA
"999","Don't know",0,45,NA
".","Missing",5012,5057,NA
