"AUXOTSPL.Code.or.Value","AUXOTSPL.Value.Description","AUXOTSPL.Count","AUXOTSPL.Cumulative","AUXOTSPL.Skip.to.Item"
"1","Yes (checkbox checked)",1539,1539,NA
"2","No (checkbox unchecked)",246,1785,NA
".","Missing",104,1889,NA
