"OSD030bd.Code.or.Value","OSD030bd.Value.Description","OSD030bd.Count","OSD030bd.Cumulative","OSD030bd.Skip.to.Item"
"13 to 54","Range of Values",8,8,NA
"85","85 or older",0,8,NA
"77777","Refused",0,8,NA
"99999","Don't know",0,8,NA
".","Missing",5033,5041,NA
