"DRD350JQ.Code.or.Value","DRD350JQ.Value.Description","DRD350JQ.Count","DRD350JQ.Cumulative","DRD350JQ.Skip.to.Item"
"1 to 6","Range of Values",2,2,NA
".","Missing",9641,9643,NA
