"SSMUCA.Code.or.Value","SSMUCA.Value.Description","SSMUCA.Count","SSMUCA.Cumulative","SSMUCA.Skip.to.Item"
"6.94 to 15800","Range of Values",2226,2226,NA
".","Missing",753,2979,NA
