"LBDPFDEL.Code.or.Value","LBDPFDEL.Value.Description","LBDPFDEL.Count","LBDPFDEL.Cumulative","LBDPFDEL.Skip.to.Item"
"0","At or above the detection limit",579,579,NA
"1","Below lower detection limit",1515,2094,NA
".","Missing",274,2368,NA
