"SSVC1_N.Code.or.Value","SSVC1_N.Value.Description","SSVC1_N.Count","SSVC1_N.Cumulative","SSVC1_N.Skip.to.Item"
"54.1 to 1670","Range of Values",1720,1720,NA
".","Missing",58,1778,NA
