"LBDRPLSI.Code.or.Value","LBDRPLSI.Value.Description","LBDRPLSI.Count","LBDRPLSI.Cumulative","LBDRPLSI.Skip.to.Item"
"0.005 to 1.396","Range of Values",5867,5867,NA
".","Missing",2965,8832,NA
