"AUXU3KR.Code.or.Value","AUXU3KR.Value.Description","AUXU3KR.Count","AUXU3KR.Cumulative","AUXU3KR.Skip.to.Item"
"-10 to 120","Range of Values",1681,1681,NA
"666","No response",1,1682,NA
"888","Could not obtain",0,1682,NA
".","Missing",125,1807,NA
