"WBXP101.Code.or.Value","WBXP101.Value.Description","WBXP101.Count","WBXP101.Cumulative","WBXP101.Skip.to.Item"
"-134.5183 to 177.3408","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
