"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",136,136,NA
"2","No",9618,9754,NA
".","Missing",499,10253,NA
