"SMD630.Code.or.Value","SMD630.Value.Description","SMD630.Count","SMD630.Cumulative","SMD630.Skip.to.Item"
"7 to 17","Range of Values",82,82,""
"6","6 years or less",1,83,""
"77","Refused",0,83,"SMAQUEX2"
"99","Don't know",0,83,"SMAQUEX2"
".","Missing",7085,7168,""
