"MPQ120ac.Code.or.Value","MPQ120ac.Value.Description","MPQ120ac.Count","MPQ120ac.Cumulative","MPQ120ac.Skip.to.Item"
"38","Hand - right",137,137,NA
".","Missing",5274,5411,NA
