"DRQSDT8.Code.or.Value","DRQSDT8.Value.Description","DRQSDT8.Count","DRQSDT8.Cumulative","DRQSDT8.Skip.to.Item"
"8","Weight gain/Muscle building diet",29,29,NA
".","Missing",9515,9544,NA
