"SXD510.Code.or.Value","SXD510.Value.Description","SXD510.Count","SXD510.Cumulative","SXD510.Skip.to.Item"
"0 to 100","Range of Values",1869,1869,NA
"77777","Refused",1,1870,NA
"99999","Don't know",0,1870,NA
".","Missing",3432,5302,NA
