"HID030C.Code.or.Value","HID030C.Value.Description","HID030C.Count","HID030C.Cumulative","HID030C.Skip.to.Item"
"1","Yes",1492,1492,NA
"2","No",6165,7657,NA
"7","Refused",17,7674,NA
"9","Don't know",62,7736,NA
".","Missing",2229,9965,NA
