"LBXSASSI.Code.or.Value","LBXSASSI.Value.Description","LBXSASSI.Count","LBXSASSI.Cumulative","LBXSASSI.Skip.to.Item"
"9 to 882","Range of Values",6551,6551,NA
".","Missing",428,6979,NA
