"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"1.7 to 1215.9","Range of Values",2555,2555,NA
"1.06","Fill Value of Limit of Detection",3,2558,NA
".","Missing",115,2673,NA
