"URXP19.Code.or.Value","URXP19.Value.Description","URXP19.Count","URXP19.Cumulative","URXP19.Skip.to.Item"
"3.5 to 2235.1","Range of Values",2131,2131,NA
".","Missing",507,2638,NA
