"LBXVIA.Code.or.Value","LBXVIA.Value.Description","LBXVIA.Count","LBXVIA.Cumulative","LBXVIA.Skip.to.Item"
"1.4 to 182.1","Range of Values",8365,8365,NA
".","Missing",897,9262,NA
