"URDFLOW2.Code.or.Value","URDFLOW2.Value.Description","URDFLOW2.Count","URDFLOW2.Cumulative","URDFLOW2.Skip.to.Item"
"0 to 62.333","Range of Values",1392,1392,NA
".","Missing",6429,7821,NA
