"BIXS220K.Code.or.Value","BIXS220K.Value.Description","BIXS220K.Count","BIXS220K.Cumulative","BIXS220K.Skip.to.Item"
"92.32 to 856.56","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
