"CIQD068.Code.or.Value","CIQD068.Value.Description","CIQD068.Count","CIQD068.Cumulative","CIQD068.Skip.to.Item"
"1","Yes",1,1,"CIQD071"
"2","No",8,9,""
"7","Refuse",0,9,""
"9","Don't know",0,9,""
".","Missing",841,850,""
