"DR1TS140.Code.or.Value","DR1TS140.Value.Description","DR1TS140.Count","DR1TS140.Cumulative","DR1TS140.Skip.to.Item"
"0 to 18.757","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
