"RDD120.Code.or.Value","RDD120.Value.Description","RDD120.Count","RDD120.Cumulative","RDD120.Skip.to.Item"
"0 to 18","Range of Values",934,934,NA
"20","20 to 150",6,940,NA
"7777","Refused",0,940,NA
"9999","Don't know",0,940,NA
".","Missing",9530,10470,NA
