"HSQ580.Code.or.Value","HSQ580.Value.Description","HSQ580.Count","HSQ580.Cumulative","HSQ580.Skip.to.Item"
"1 to 12","Range of Values",235,235,NA
"77","Refused",0,235,NA
"99","Don't know",4,239,NA
".","Missing",9201,9440,NA
